author_id;username;id;created_at(utc);lang;tweet;tweetcount;followers;following;url
781211240412557312;mhplatten;1505511735981092866;20/03/2022 11:49:03;en;RT @anders_aslund: A few thoughts on the Western economic sanctions on Russia. 1. They are truly vicious. No sensible forecasts can be made…;116099;199;376;https://twitter.com/twitter/status/1505511735981092866
34705390;SafetyMentalst;1505511718356725766;20/03/2022 11:48:59;en;RT @CBSSunday: In 2013, he achieved one of the great shocks in tennis history, knocking defending champion Roger Federer out of Wimbledon…;453245;15323;16818;https://twitter.com/twitter/status/1505511718356725766
1450615928379609089;FelizaSosa;1505511715252805637;20/03/2022 11:48:58;es;RT @pmarsupia: Un vehículo TOS-1A ruso lanzando armas termobáricas. (Grabado por el canal estatal ruso Russia Today).  Ya da bastante miedo…;3893;53;102;https://twitter.com/twitter/status/1505511715252805637
102731251;LuisABRamos;1505511712224653312;20/03/2022 11:48:57;en;How information flows changed. Today is impossible to lie to an entire population without a significant number of people turn against you. You can shape facts in a convincing manner, but you can’t just lie. We may witness an exodus from Russia. https://t.co/75V35Dkp11;2661;2478;2480;https://twitter.com/twitter/status/1505511712224653312
1918033532;HempstoneAmizi;1505511711977127936;20/03/2022 11:48:57;en;RT @RWApodcast: It looks like Russia used three advanced weapons systems today, as a show of force &amp  to test battlefield capabilities. 1) T…;51305;1140;1463;https://twitter.com/twitter/status/1505511711977127936
615670110;ChrisRamsden4;1505511706402996226;20/03/2022 11:48:56;en;RT @mrjamesob: Starmer has, for good or for ill, been at pains to prioritise unity against Russia. He’s declined to score easy points at  P…;54981;2314;2267;https://twitter.com/twitter/status/1505511706402996226
1487914877763166217;EstPiatRublei;1505511701264932867;20/03/2022 11:48:55;und;RT @holodmedia: Russia Today держит марку! https://t.co/KvlFZ5Oh5b;155;10;73;https://twitter.com/twitter/status/1505511701264932867
18435784;SlavaMalamud;1505511688854032385;20/03/2022 11:48:52;en;Facebook reminds me that 10 years ago today, I found out that I am related, through my grandmother, to Yakov Natanovich Pokhis of Odesa, Ukraine, better known in America as Yakov Smirnov. In Soviet Russia, past run away from you.;64565;42298;781;https://twitter.com/twitter/status/1505511688854032385
2433516463;HpfulCanadian;1505511682432544769;20/03/2022 11:48:50;en;RT @florida_sophia: This account is a good study for anyone interested in how Russian disinformation spreads in leftist circles. Rania used…;374942;1164;1211;https://twitter.com/twitter/status/1505511682432544769
1423998961816383490;Sudoku_Hell;1505511680834428928;20/03/2022 11:48:50;en;RT @florida_sophia: This account is a good study for anyone interested in how Russian disinformation spreads in leftist circles. Rania used…;618;9;123;https://twitter.com/twitter/status/1505511680834428928
1392445047728136194;KBentle54573575;1505511677923663874;20/03/2022 11:48:49;en;RT @mrjamesob: Starmer has, for good or for ill, been at pains to prioritise unity against Russia. He’s declined to score easy points at  P…;3366;53;206;https://twitter.com/twitter/status/1505511677923663874
23245225;taracas;1505511669514088451;20/03/2022 11:48:47;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;321748;1600;3324;https://twitter.com/twitter/status/1505511669514088451
1497852126223118338;SFimbul;1505511656012627972;20/03/2022 11:48:44;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;6149;33;160;https://twitter.com/twitter/status/1505511656012627972
1355158049686695939;wikisoon3;1505511633849917440;20/03/2022 11:48:39;en;Andrey Paliy Wiki                                           Andrey Paliy Biography Who is Andrey Paliy ? Ukraine claimed today that its forces had shot dead the deputy commander of Russia s Black Sea Fleet in another significant blow to Vladimir  https://t.co/Z1J0fAYDsY https://t.co/9slCjRcH0v;4997;26;50;https://twitter.com/twitter/status/1505511633849917440
1405785091;gaus_ee;1505511627239702529;20/03/2022 11:48:37;en;Russia Today https://t.co/6HuI2pWL7Y;46949;1754;352;https://twitter.com/twitter/status/1505511627239702529
1396419032807583746;HelenRosenthal_;1505511609019637761;20/03/2022 11:48:33;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;23874;602;1087;https://twitter.com/twitter/status/1505511609019637761
754775250;ushadrons;1505511579042951181;20/03/2022 11:48:26;en;RT @MollyMcKew: Today’s update: Russia’s only military plan is slaughtering civilians.;205954;14385;6079;https://twitter.com/twitter/status/1505511579042951181
1358415961;Anonymus_Chile;1505511568561172481;20/03/2022 11:48:23;es;RT @pmarsupia: Un vehículo TOS-1A ruso lanzando armas termobáricas. (Grabado por el canal estatal ruso Russia Today).  Ya da bastante miedo…;166958;5084;5400;https://twitter.com/twitter/status/1505511568561172481
439485003;MarkBat1;1505511567877718020;20/03/2022 11:48:23;en;RT @anders_aslund: A few thoughts on the Western economic sanctions on Russia. 1. They are truly vicious. No sensible forecasts can be made…;45358;333;228;https://twitter.com/twitter/status/1505511567877718020
1270904347;miguelpergamon1;1505511551956135942;20/03/2022 11:48:19;en;RT @florida_sophia: This account is a good study for anyone interested in how Russian disinformation spreads in leftist circles. Rania used…;441;34;105;https://twitter.com/twitter/status/1505511551956135942
342455600;CommanderBliss;1505511547015254016;20/03/2022 11:48:18;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;105041;907;2089;https://twitter.com/twitter/status/1505511547015254016
1239843092573884418;MichaZakrzewsk9;1505511526324908037;20/03/2022 11:48:13;en;RT @BritUkrAid: STAND WITH UKRAINE  peaceful PROTEST  against Russia’s barbaric war in #Ukraine in #Trafalgar Square TODAY @2-5 pm #StandWi…;3650;9;144;https://twitter.com/twitter/status/1505511526324908037
1174176649178275840;AlleyCatCleopet;1505511523925602314;20/03/2022 11:48:13;en;RT @WarintheFuture: Russia s President needs a story line that preserves his Presidency, relaxes sanctions on his country &amp  gives the appea…;27044;3416;3798;https://twitter.com/twitter/status/1505511523925602314
811829;herdmeister;1505511522763788295;20/03/2022 11:48:12;en;RT @mrjamesob: Starmer has, for good or for ill, been at pains to prioritise unity against Russia. He’s declined to score easy points at  P…;109942;11844;13027;https://twitter.com/twitter/status/1505511522763788295
1460329711498838018;PredicterX;1505511521656389632;20/03/2022 11:48:12;en;@LayahHeilpern @TakisSpanakopi Yes, but not related to a president  80% of all USD today was printed during 2019 to mid 2021. There is the main reason for high inflation in the USA. Then it did not help one bit when Russia put sanctions on your country. On a normal day you get 500 million fat oil from them.;440;16;10;https://twitter.com/twitter/status/1505511521656389632
1049148660909584384;nl8_nl;1505511518531727360;20/03/2022 11:48:11;en;RT @DmytroKuleba: Russian invaders continue to abduct democratically elected local leaders in Ukraine. Mayor of Skadovsk Oleksandr Yakovlye…;30903;188;2623;https://twitter.com/twitter/status/1505511518531727360
1485011304159059970;EmbayeBerhe;1505511511732666378;20/03/2022 11:48:10;en;RT @JosepBorrellF: Today marks 8 years since the illegal annexation of Crimea by Russia, which still affects millions of Ukrainians.  This…;15151;485;493;https://twitter.com/twitter/status/1505511511732666378
909114023521783808;EwaChudzik;1505511505114107907;20/03/2022 11:48:08;pl;@m_kaluzny Kurwizja, niczym Russia Today!Pierze mózgi!;28527;552;914;https://twitter.com/twitter/status/1505511505114107907
561343207;andreadavey2;1505511481558843394;20/03/2022 11:48:02;en;@ShankerASingham @BorisJohnson He lied and said the money would go back into the NHS written all over a double decker bus Is this St delusional day today.  Did he mention when the Sue Gray report and the Russia report are coming out yet it s not going to go away. We are not going to forget;6010;71;111;https://twitter.com/twitter/status/1505511481558843394
210784399;luisenvll;1505511475883958279;20/03/2022 11:48:01;en;RT @simulacrax: NATO would do to Russia what it did to Libya or Yugoslavia if it had the chance. It would kill Putin if it had the chance.…;5390;136;702;https://twitter.com/twitter/status/1505511475883958279
1500712734081626117;nagracard;1505511475514912769;20/03/2022 11:48:01;en;@KimDotcom Hahaha explain us where is working the son of Oliver Stone ... ?  He is working for Russia Today !! The tool of propagandea...   Be serious ... because you are just a parrot !;183;0;5;https://twitter.com/twitter/status/1505511475514912769
113691609;MaryDonoghue___;1505511474277621761;20/03/2022 11:48:01;en;RT @rtenews: Follow #live coverage of events in Ukraine today as Russia strikes with cruise missiles from the sea and a shelter is bombed i…;916;110;407;https://twitter.com/twitter/status/1505511474277621761
2636340443;debr3322;1505511465041727491;20/03/2022 11:47:58;en;RT @InnaSovsun: Today, #russia has stated that #Ukraine plans to carry out terrorist attacks at the US mission in Lviv @USEmbassyKyiv. This…;614103;2265;5001;https://twitter.com/twitter/status/1505511465041727491
295618916;CarolineMack18;1505511457844305931;20/03/2022 11:47:57;en;RT @PaulNiland: Yup. This isn t hyperbole. Today s Russia has gone down the same path as Nazi Germany. From claiming lands based on histori…;43217;1402;4051;https://twitter.com/twitter/status/1505511457844305931
